1623,"חומת שמואל ב' - רח' יחיאל לנגר, 
רח' הבבא סאלי, ג'בל אבו-סוקור","Homat Shmuel B - Yechiel Langer St., 
Hababa Sali St., Jabal Abu-Sukur"
163,גילה (מזרח),Gilo (east)
1631,גילה - רח' אפרסמון,Gilo - Afarsemon st.
1632,"גילה - רח'  אריה בן אליעזר, רח' שמיר","Gilo - Arye Ben-Eliezer st., Shamir st."
1633,גילה - רח' האחות יהודית,Gilo - Ha'ahot Yehudit st.
1634,"גילה - רח' יפה רום, גבעת קנדה","Gilo - Yefe Rom st., Giv'at Canada"
164,גילה (מערב),Gilo (west)
1641,"גילה - רח' האנפה, רח' השליו","Gilo - Ha'anafa st., Haslav st."
1642,גילה - רח' תרשיש,Gilo - Tarshish st.
1643,"גילה - רח' תירוש, רח' דגן","Gilo - Tirosh st., Dagan st."
1644,גילה - רח' המחנכת,Gilo - Hamehanechet st.
,,
2111,"כפר עקב, עטרות","Kafr 'Aqb, Atarot"
2112,בית חנינא,Bet Hanina
2211,שועפאט,Shu'afat
2212,מחנה פליטים שועפאט,Shu'afat - refugee camp
2213,ענאתה החדשה,New Anata
2311,עיסאוויה,Isawiyya
2312,"א-טור, מורדות הר הזיתים","At-Tur, Mount of Olives"
2411,"ואדי אל ג'וז, שייח ג'ראח","Wadi Al-Joz, Sheih Jarrah"
2412,"באב א-זהרה, מסעודיה","Bab Az-Zahara, Mas'udiya"
2511,העיר העתיקה - הרובע המוסלמי,Old City - Moslem Quarter
2512,העיר העתיקה - הרובע היהודי,Old City - Jewish Quarter
2513,העיר העתיקה - הרובע הארמני,Old City - Armenian Quarter
2514,העיר העתיקה - הרובע הנוצרי,Old City - Christian Quarter
2611,סילוואן,Silwan
2612,אבו תור,Abu Thor
2613,ראס אל-עמוד,Ras Al-'Amud
2711,ג'בל מוכבר,Jabal Mukabar
2811,צור באהר,Sur Bahar
2812,אום טובא,Um Tubba
2911,בית צפאפא,Bet Zafafa
